,norm_form,real_view,f_a,f_b,f_ab,f_a_contrasting,f_b_contrasting,f_ab_contrasting,part_of_speech_a,part_of_speech_b,syntax_templates,mi,mi3,t_score,dice,chi_sq,jaccard,poisson_stirling,log_dice,minimum_sensitivity,mi_contrasting,mi3_contrasting,t_score_contrasting,dice_contrasting,chi_sq_contrasting,jaccard_contrasting,poisson_stirling_contrasting,log_dice_contrasting,minimum_sensitivity_contrasting,weirdness,cw,dw,value,check_frequency,check_collect,measure_comb_3,measure_comb_5,measure_comb_weardness,rang_mi,rang_mi3,rang_t_score,rang_minimum_sensitivity,rang_dice,rang_weirdness,measure_comb_weirdness,class
383,"('один', 'сторона')",одна сторона,2900,920,83,12905,4327,203,ADJF,NOUN,1,4.981463901068081,17.73154276376193,8.822051021226738,3.110944527736132e-05,0.0024212040818416,0.0222103291410222,-1325.6998877734793,-13.972287804499746,0.0286206896551724,3.704400353061344,19.03507218743169,13.15482639150942,3.6353910512252568e-06,0.0006291024488177,0.0119208409184332,-3871.0999758712633,-17.069458009218046,0.0157303370786516,1.4437392165052754,89.08309958276712,4.119520435611248,1.0,1.0,1.0,1691402.8450941655,1847879938.7244675,10407601.453833016,10000,10000,10000,10000,10000,10000,867021.626476841,0
398,"('один', 'белка')",одно белки,2900,215,2,12905,13,5,ADJF,NOUN,1,1.7037216710760712,3.703721671076072,0.980059698425156,3.207698476343224e-06,3.0810489574248843e-06,0.0006424670735624,-38.50006006898352,-17.250030034491758,0.0006896551724137,6.739704218044328,11.383560407819052,2.215144596147509,2.980359431347421e-05,0.0001462422311519,0.0003872066909316,-80.17077072117532,-14.034154144235062,0.0003874467260751,1.4124292094003417,19.32624952525396,3.672651930631572,0.25,0.5,0.0,1728665.1834939232,11284655452.664057,10407601.453833016,10000,10000,10000,10000,10000,10000,1630707.4897626007,0
416,"('мочь', 'двигаться')",может двигаться,3445,339,8,15899,957,18,NOUN,INFN,1,2.7983219748398307,8.798321974839832,2.4218282788914025,6.850165474309739e-06,4.017794820376223e-05,0.0021186440677966,-145.243437845824,-16.155429730728,0.002322206095791,2.084759842567198,10.424609845451824,3.242500205324608,1.1830163802419705e-06,1.2438006587662351e-05,0.0010690105713267,-372.40377335481946,-18.6890985197122,0.0011321466758915,1.5693657882226018,52.29949418751143,3.685256857531341,0.25,0.5,0.0,1728665.1834939232,5337963078.126579,10407601.453833016,10000,10000,10000,10000,10000,10000,1610731.8031977825,0
421,"('настоящий', 'время')",настоящее время,421,2089,187,983,8168,32,ADJF,NOUN,1,7.754372965321961,22.84816188509724,13.611462514912894,0.0002126283018503,0.0393940519855075,0.0804993542832544,-2468.2838244259774,-11.199378740245868,0.0895165150789851,3.837043605061008,13.837043605061009,5.261023280619767,3.985480893106413e-06,0.0001103115986828,0.0035091567057791,-605.9780722309882,-16.936814757218382,0.0039177277179236,20.63470798108312,108.36447939384982,27.20924020244034,0.75,0.5,1.0,781740.8107578075,539515156.7576786,10407601.453833016,10000,10000,10000,10000,10000,10000,148665.20578047738,1
471,"('этот', 'процесс')",Этот процесс,4289,1746,88,15635,102,3,ADJF,NOUN,1,3.5769198799401294,16.495783117214724,8.594725430844687,1.1751204565236144e-05,0.0008680533168684,0.0147973768286531,-1529.1612006552375,-15.3768318256277,0.0205176031709023,2.753903922216648,5.92382892365896,1.4752756871293369,1.8811490058127504e-06,4.0942048440244105e-06,0.0001906698868692,-60.05986332018822,-18.019954440062744,0.0001918771985929,103.57814202269174,100.93384993487764,42.51559435145157,0.8,1.0,0.6,1728665.1834939232,3090746584.291449,10407601.453833016,10000,10000,10000,10000,10000,10000,235482.61277372777,1
528,"('очень', 'стабильный')",очень стабильный,1300,57,1,4463,9,1,ADVB,ADJF,1,3.77656578348727,3.77656578348727,0.9270306599244704,1.349527665317139e-05,1.1597649722537096e-05,0.0007374631268436,-17.177185922080557,-15.17718592208056,0.0007692307692307,6.480135269585222,6.480135269585222,0.9887982749672528,2.48960589538676e-05,2.4341425263978257e-05,0.0002236636099306,-16.293723092694165,-14.293723092694169,0.0002240645305848,3.531073023500854,0.0,6.625182861823457,0.25,0.5,0.0,1728665.1834939232,9594257847.16049,10407601.453833016,10000,10000,10000,10000,10000,10000,1458225.1192317626,1
534,"('друг', 'друг')",другу другу,1073,1073,110,4519,4519,551,NOUN,NOUN,1,6.600242697579445,20.162962124628763,10.379988576786817,9.554176086939528e-05,0.0102940670424915,0.0540275049115913,-1578.8859908787222,-12.353509007988384,0.1025163094128611,6.59619118750854,24.808008204650857,23.23077041962296,2.698155132755353e-05,0.0145610985748386,0.0649228231412748,-8913.894613298738,-14.17766717477085,0.1219296304492144,0.7049329085028928,86.56472122012516,2.111981702547279,0.75,0.5,1.0,868558.2177510579,923888486.5140092,10407601.453833016,10000,10000,10000,10000,10000,10000,981497.676405994,0
538,"('расстояние', 'друг')",расстояние друг,362,1073,7,423,4519,3,NOUN,NOUN,1,4.193826379785706,9.808536223900914,2.50118021185378,1.8021450675289502e-05,0.0001127404374711,0.0049019607843137,-117.31947728047484,-14.759925325782124,0.0065237651444548,2.492519168209593,5.662444169651905,1.4242727935608146,1.569417698951158e-06,3.18364696651573e-06,0.0006074104069649,-60.84401758220938,-18.2813391940698,0.0006638636866563,8.23917038816866,52.81105220013273,11.043833539983115,0.7,1.0,0.4,1728665.1834939232,3621394463.0510592,10407601.453833016,10000,10000,10000,10000,10000,10000,1337602.7042057423,0
567,"('смотреть', 'рис')",смотреть рисунок,747,2379,1,3260,14,0,INFN,NOUN,1,-0.8073522836465434,-0.8073522836465434,-0.7499967995903476,5.62710418527128e-07,3.1652190907149066e-07,0.00032,-21.761103989214373,-19.761103989214373,0.0004203446826397,0.0,0.0,0.0,0.0,3.5495774685906726e-09,0.0,0.0,0.0,0.0,0.0,0.0,10.997536981009224,0.9,1.0,0.8,1728665.1834939232,18132223543.418865,10407601.453833016,10000,10000,10000,10000,10000,10000,1728665.1834939232,1
577,"('очень', 'короткий')",очень короткий,1300,252,14,4463,472,5,ADVB,ADJF,1,5.4395307962097,13.054240640324908,3.655438564573428,4.2735042735042735e-05,0.0005710355170671,0.0091027308192457,-217.1990927310138,-13.51422090935813,0.0107692307692307,3.089345316553056,7.733201506327781,1.973344190891689,2.3735649426356827e-06,9.242869088698167e-06,0.0010141987829614,-98.42256522863168,-17.684513045726334,0.001120322652924,9.887004465802391,68.09712010849441,13.43087047281472,0.7,1.0,0.4,1728665.1834939232,1950194079.8752177,10407601.453833016,10000,10000,10000,10000,10000,10000,1318395.3132780322,0
599,"('свой', 'короткий')",своих короткий,2044,252,1,19408,472,9,ADJF,ADJF,1,0.9792923011302906,0.9792923011302906,0.4927715055219376,1.941415835740689e-06,4.714218864628122e-07,0.0004357298474945,-19.97445940443754,-17.97445940443754,0.0004892367906066,1.8167764792393508,8.156626482123976,2.148436498505536,9.824709712577023e-07,4.534869258548428e-06,0.0004529213426601,-188.6137369473604,-18.95708188304004,0.0004637262984336,0.3923414470556504,0.0,1.551187701855424,0.25,0.5,0.0,1728665.1834939232,15599330149.749,10407601.453833016,10000,10000,10000,10000,10000,10000,1728665.1834939232,0
622,"('мочь', 'двигать')",может двигать,3445,28,1,15899,41,3,NOUN,INFN,1,3.396108515918571,3.396108515918571,0.905011841515714,1.036699149906697e-05,8.491047411192867e-06,0.0002880184331797,-17.55764318964926,-15.55764318964926,0.0002902757619738,4.044620451713984,7.214545453156296,1.6270944983615316,4.602222259721811e-06,1.218409122186714e-05,0.0001882411997239,-56.18771373169623,-16.729237910565406,0.0001886911126485,1.1770243411669514,0.0,3.692103385486307,0.25,0.5,0.0,1728665.1834939232,10385318177.879168,10407601.453833016,10000,10000,10000,10000,10000,10000,1671811.3063479008,0
642,"('самый', 'различный')",самые различные,766,1071,37,3583,154,7,ADJF,ADJF,1,5.517261724521565,15.936168455779464,5.9499498354060805,4.510072088017104e-05,0.0015966513478075,0.0205555555555555,-571.1501292987118,-13.436489981046265,0.034547152194211,5.507474415431356,11.122184259546565,2.587590022386268,1.2686169537969706e-05,8.494179742664812e-05,0.0018766756032171,-120.8646876279362,-15.266383946848034,0.0019536701088473,18.6642431242188,86.86332576141596,21.180184217010662,0.7,1.0,0.4,1691402.8450941655,1589829746.7349882,10407601.453833016,10000,10000,10000,10000,10000,10000,830527.5837141915,1
655,"('такой', 'структура')",такую структуру,3101,1218,20,9891,16,0,ADJF,NOUN,1,2.426863571936236,11.07071976171096,3.640455936856673,5.295182601724429e-06,7.017662837823383e-05,0.0046522447080716,-370.5377626726319,-16.526888133631594,0.0064495324089003,0.0,0.0,0.0,0.0,1.2308105430965942e-08,0.0,0.0,0.0,0.0,0.0,76.98078444458302,35.31914841424921,0.8,1.0,0.6,1728665.1834939232,4967569169.631614,10407601.453833016,10000,10000,10000,10000,10000,10000,1717909.0445744053,1
687,"('мочь', 'развить')",может развить,3445,87,1,15899,15,1,NOUN,INFN,1,1.7605199421274464,1.7605199421274464,0.7048582218523971,3.336503011193968e-06,1.6576584852707506e-06,0.0002832058906825,-19.193231763440384,-17.19323176344038,0.0002902757619738,3.9103193600023927,3.9103193600023927,0.9334915877602324,4.193135836635428e-06,3.653926009682452e-06,6.284170175328348e-05,-18.863539002277,-16.863539002276998,6.289703754953141e-05,3.531073023500854,0.0,6.625182861823457,0.25,0.5,0.0,1728665.1834939232,14024077750.408638,10407601.453833016,10000,10000,10000,10000,10000,10000,1458225.1192317626,0
691,"('большинство', 'другой')",большинство других,576,2772,11,685,8628,13,NOUN,ADJF,1,2.8065467806256,9.725410017900192,2.842555768282749,6.889329805996472e-06,5.566663425786436e-05,0.0032963739886125,-199.61925417436453,-16.14720492494223,0.0039682539682539,2.979527441412139,10.380406877694323,3.148416202225336,2.199594597795668e-06,2.18035355220408e-05,0.0013978494623655,-257.3263019712743,-17.79433092086725,0.00150672229949,2.9878310198853386,60.70832681417963,6.2380589085856215,0.7,1.0,0.4,1728665.1834939232,4929547548.294312,10407601.453833016,10000,10000,10000,10000,10000,10000,1485499.6143491112,1
774,"('продолжительность', 'жизнь')",продолжительность жизни,77,1286,20,3,3956,0,NOUN,NOUN,1,7.680218332432342,16.324074522207066,4.450331817779014,0.000201975318616,0.0040002127382473,0.014892032762472,-265.4706674627097,-11.273533373135486,0.015552099533437,0.0,0.0,0.0,0.0,9.230145792557867e-10,0.0,0.0,0.0,0.0,0.0,76.98078444458302,35.31914841424921,0.7,1.0,0.4,1728665.1834939232,748847514.003733,10407601.453833016,10000,10000,10000,10000,10000,10000,1717909.0445744053,0
790,"('очень', 'важный')",очень важный,1300,748,40,4463,958,56,ADVB,ADJF,1,5.384489432651737,16.02834562242646,6.173151384485389,4.113533525298231e-05,0.0015675770471317,0.0199203187250996,-622.7704909166437,-13.569262272916092,0.0307692307692307,5.553533347348958,17.168243191464168,7.32397877953825,1.3097717862995064e-05,0.00070257029829,0.0104380242311276,-964.338200836104,-15.220325014930433,0.0125476137127492,2.5221950167863243,82.74875441290364,6.217196990293085,0.8,1.0,0.6,1728665.1834939232,1663513264.733922,10407601.453833016,10000,10000,10000,10000,10000,10000,1143608.055835869,1
791,"('важный', 'тип')",важный тип,748,993,2,958,124,0,ADJF,NOUN,1,1.4512073381518178,3.451207338151818,0.8970141067172377,2.692645308604079e-06,2.1665947936349204e-06,0.0011500862564692,-39.00508873483202,-17.50254436741601,0.0020140986908358,0.0,0.0,0.0,0.0,9.238856412112692e-09,0.0,0.0,0.0,0.0,0.0,21.13360444731157,13.731175949310032,0.5,1.0,0.0,1728665.1834939232,12580340271.095558,10407601.453833016,10000,10000,10000,10000,10000,10000,1728665.1834939232,1
843,"('противоположный', 'направление')",противоположное направление,180,833,15,237,517,9,ADJF,NOUN,1,6.666616519481124,14.480397710698162,3.8348597301101535,0.0001000400160064,0.0014712033963205,0.0150300601202404,-214.30702779130056,-12.287135186086704,0.0180072028811524,8.04101964450851,14.380869647393132,2.988609752893856,7.345199911857601e-05,0.0006560577030403,0.0120805369127516,-132.59554845993793,-12.732838717770882,0.0174081237911025,5.885121705834758,68.56062418683523,10.18010487391264,0.7,1.0,0.4,1728665.1834939232,1212322373.9168904,10407601.453833016,10000,10000,10000,10000,10000,10000,1380627.259883813,1
874,"('этот', 'реакция')",эта реакция,4289,548,22,15635,76,1,ADJF,NOUN,1,3.2487256406090426,12.167588877883638,4.196960849555857,9.36022042468171e-06,0.0001648754189547,0.0045690550363447,-389.5105734290933,-15.705026064958783,0.0051294007927255,1.5934392500234016,1.5934392500234016,0.6686194690314846,8.415666604951778e-07,3.7622405396794e-07,6.365372374283896e-05,-21.18041911225599,-19.18041911225599,6.395906619763352e-05,77.6836065170188,78.53078029104688,29.074428142926788,0.7,1.0,0.4,1728665.1834939232,3846910328.335526,10407601.453833016,10000,10000,10000,10000,10000,10000,1144376.3514729773,1
